Time(5 mins),Day of Week,Probe speed ,Probe flow ,Sensor speed ,Sensor flow 
1/7/2019 0:00,1,69.1,92,74.5,72
1/7/2019 0:05,1,70.2,92,73.5,56
1/7/2019 0:10,1,70.3,92,75.5,47
1/7/2019 0:15,1,64.7,82,73.5,63
1/7/2019 0:20,1,64.5,82,72.2,44
1/7/2019 0:25,1,64.5,82,73.3,43
1/7/2019 0:30,1,70,72,72.4,43
1/7/2019 0:35,1,69.8,72,74.5,40
1/7/2019 0:40,1,69.8,72,74.5,49
1/7/2019 0:45,1,69.7,62,75.9,36
1/7/2019 0:50,1,66,62,75.2,29
1/7/2019 0:55,1,65.4,62,73,31
1/7/2019 1:00,1,65.8,55,73.4,34
1/7/2019 1:05,1,66,55,77.6,37
1/7/2019 1:10,1,68.2,55,74,26
1/7/2019 1:15,1,69,51,73.7,25
1/7/2019 1:20,1,68.2,51,73,33
1/7/2019 1:25,1,72,51,71.4,25
1/7/2019 1:30,1,72.9,48,68.8,31
1/7/2019 1:35,1,72.9,48,71.4,16
1/7/2019 1:40,1,66.4,48,67.6,29
1/7/2019 1:45,1,65.7,44,71.6,22
1/7/2019 1:50,1,65.7,44,67.4,15
1/7/2019 1:55,1,66.4,44,65.4,27
1/7/2019 2:00,1,66.4,41,66.7,24
1/7/2019 2:05,1,67.7,41,68.7,14
1/7/2019 2:10,1,62.3,41,58.3,22
1/7/2019 2:15,1,60.2,38,65.7,25
1/7/2019 2:20,1,60.8,38,62.6,19
1/7/2019 2:25,1,60.8,38,61.2,25
1/7/2019 2:30,1,61.1,34,60.6,14
1/7/2019 2:35,1,62.5,34,59,20
1/7/2019 2:40,1,67.1,34,52.4,17
1/7/2019 2:45,1,69.6,34,60,29
1/7/2019 2:50,1,69.6,34,54.2,20
1/7/2019 2:55,1,69.4,34,60.9,21
1/7/2019 3:00,1,67.2,31,63.5,22
1/7/2019 3:05,1,67.1,31,58.4,14
1/7/2019 3:10,1,66.4,31,58.1,28
1/7/2019 3:15,1,60.6,34,55.2,25
1/7/2019 3:20,1,56.2,34,57.5,40
1/7/2019 3:25,1,51.3,34,60.1,36
1/7/2019 3:30,1,55.2,38,58.1,49
1/7/2019 3:35,1,58.8,38,56,20
1/7/2019 3:40,1,58.3,38,56.9,24
1/7/2019 3:45,1,58,41,57.7,66
1/7/2019 3:50,1,42.9,41,62.9,44
1/7/2019 3:55,1,35.5,41,61.7,70
1/7/2019 4:00,1,36.7,44,64.1,47
1/7/2019 4:05,1,44.4,44,61.9,40
1/7/2019 4:10,1,53.2,44,62.6,81
1/7/2019 4:15,1,67.3,55,65.7,69
1/7/2019 4:20,1,65.3,55,63.9,83
1/7/2019 4:25,1,59.2,55,63.4,83
1/7/2019 4:30,1,59.2,72,67.1,72
1/7/2019 4:35,1,59.1,72,64.6,98
1/7/2019 4:40,1,58.6,72,63.8,118
1/7/2019 4:45,1,62.3,96,66.7,103
1/7/2019 4:50,1,63.9,96,65.8,112
1/7/2019 4:55,1,65.1,96,66.7,127
1/7/2019 5:00,1,67,123,67.8,128
1/7/2019 5:05,1,65.3,123,69.3,128
1/7/2019 5:10,1,65,123,67.4,119
1/7/2019 5:15,1,64.6,160,65.8,239
1/7/2019 5:20,1,67.3,160,67.9,225
1/7/2019 5:25,1,68.4,160,66.8,240
1/7/2019 5:30,1,68.6,215,66.7,259
1/7/2019 5:35,1,65.1,215,67.3,304
1/7/2019 5:40,1,66.9,215,66.9,322
1/7/2019 5:45,1,70.2,283,67.3,341
1/7/2019 5:50,1,65.9,283,66.9,378
1/7/2019 5:55,1,66.7,283,65.8,389
1/7/2019 6:00,1,65.9,375,67.2,347
1/7/2019 6:05,1,68.6,375,63.7,449
1/7/2019 6:10,1,64.1,375,66.5,379
1/7/2019 6:15,1,64.3,419,64.8,496
1/7/2019 6:20,1,61.1,419,59.2,545
1/7/2019 6:25,1,53.5,419,55.5,564
1/7/2019 6:30,1,52.6,460,55.4,619
1/7/2019 6:35,1,54.2,460,55.8,626
1/7/2019 6:40,1,53.9,460,55.9,627
1/7/2019 6:45,1,42.9,505,55.4,640
1/7/2019 6:50,1,44.3,505,52.6,647
1/7/2019 6:55,1,43.4,505,48.1,615
1/7/2019 7:00,1,39.2,559,32.8,572
1/7/2019 7:05,1,39.7,559,43.2,583
1/7/2019 7:10,1,40.9,559,38.5,559
1/7/2019 7:15,1,34.7,549,33.6,574
1/7/2019 7:20,1,35.4,549,38.1,607
1/7/2019 7:25,1,39.4,549,36.2,580
1/7/2019 7:30,1,39,539,33.7,558
1/7/2019 7:35,1,38.3,539,53.8,602
1/7/2019 7:40,1,42.8,539,51.7,649
1/7/2019 7:45,1,38,528,30.4,522
1/7/2019 7:50,1,33.7,528,33.7,577
1/7/2019 7:55,1,34.4,528,38.6,617
1/7/2019 8:00,1,35.7,518,34.9,558
1/7/2019 8:05,1,37.1,518,37.7,596
1/7/2019 8:10,1,37.8,518,35.6,574
1/7/2019 8:15,1,33.6,494,32.6,528
1/7/2019 8:20,1,37.6,494,51.3,623
1/7/2019 8:25,1,50.4,494,59,625
1/7/2019 8:30,1,52.6,474,47.9,574
1/7/2019 8:35,1,42.1,474,52.5,592
1/7/2019 8:40,1,52.9,474,57.7,627
1/7/2019 8:45,1,50.4,450,59,658
1/7/2019 8:50,1,55,450,65.4,615
1/7/2019 8:55,1,49.3,450,49.6,565
1/7/2019 9:00,1,49.1,433,58.9,584
1/7/2019 9:05,1,56.8,433,65.7,593
1/7/2019 9:10,1,64.2,433,68.5,582
1/7/2019 9:15,1,67.7,430,69.8,569
1/7/2019 9:20,1,68.7,430,69.1,561
1/7/2019 9:25,1,64.5,430,65,620
1/7/2019 9:30,1,62.9,426,67.4,593
1/7/2019 9:35,1,66.5,426,69.2,612
1/7/2019 9:40,1,64.1,426,70,584
1/7/2019 9:45,1,68.6,426,72.3,583
1/7/2019 9:50,1,70.8,426,74,490
1/7/2019 9:55,1,68.8,426,72.9,467
1/7/2019 10:00,1,68.8,426,73.5,454
1/7/2019 10:05,1,69,426,73.3,459
1/7/2019 10:10,1,68.2,426,73.5,452
1/7/2019 10:15,1,70.3,433,71.7,561
1/7/2019 10:20,1,70.2,433,73,507
1/7/2019 10:25,1,69.2,433,73.4,445
1/7/2019 10:30,1,68.5,440,72.9,462
1/7/2019 10:35,1,72.2,440,74.6,449
1/7/2019 10:40,1,70.1,440,73.2,482
1/7/2019 10:45,1,69.6,450,73.9,483
1/7/2019 10:50,1,69,450,74,445
1/7/2019 10:55,1,70.5,450,73.8,449
1/7/2019 11:00,1,71.9,460,74.1,428
1/7/2019 11:05,1,69.1,460,74.6,470
1/7/2019 11:10,1,70.1,460,73.6,470
1/7/2019 11:15,1,71,464,74.5,407
1/7/2019 11:20,1,67.8,464,75.2,341
1/7/2019 11:25,1,68,464,74.5,345
1/7/2019 11:30,1,70.4,467,76.1,404
1/7/2019 11:35,1,71.4,467,74.2,529
1/7/2019 11:40,1,68.3,467,71.2,637
1/7/2019 11:45,1,68.5,471,68.9,684
1/7/2019 11:50,1,66.8,471,73.5,561
1/7/2019 11:55,1,67.2,471,74.2,493
1/7/2019 12:00,1,71,474,74.3,469
1/7/2019 12:05,1,67.3,474,73.7,477
1/7/2019 12:10,1,70.1,474,73.2,505
1/7/2019 12:15,1,69.1,477,74,508
1/7/2019 12:20,1,70.8,477,74.7,450
1/7/2019 12:25,1,68.2,477,73.1,529
1/7/2019 12:30,1,68.5,481,72.7,498
1/7/2019 12:35,1,66,481,72.7,511
1/7/2019 12:40,1,67.4,481,70.9,504
1/7/2019 12:45,1,63.1,484,68.8,482
1/7/2019 12:50,1,62.8,484,69.3,514
1/7/2019 12:55,1,66.3,484,70.8,472
1/7/2019 13:00,1,63.4,488,70.2,450
1/7/2019 13:05,1,66.6,488,69.1,508
1/7/2019 13:10,1,67.7,488,69.6,475
1/7/2019 13:15,1,67.7,498,69.9,485
1/7/2019 13:20,1,65.8,498,72.8,502
1/7/2019 13:25,1,66.4,498,70.7,473
1/7/2019 13:30,1,66.5,511,68.7,433
1/7/2019 13:35,1,66.2,511,66.2,483
1/7/2019 13:40,1,58,511,64.9,524
1/7/2019 13:45,1,63.4,525,68.3,483
1/7/2019 13:50,1,64.9,525,66.9,494
1/7/2019 13:55,1,64,525,64.9,453
1/7/2019 14:00,1,64,539,63.1,522
1/7/2019 14:05,1,62.9,539,66.8,513
1/7/2019 14:10,1,67,539,67.4,521
1/7/2019 14:15,1,65.3,563,69.3,501
1/7/2019 14:20,1,61.8,563,69.1,483
1/7/2019 14:25,1,66,563,68.1,516
1/7/2019 14:30,1,67.2,580,69.5,514
1/7/2019 14:35,1,65,580,69.4,473
1/7/2019 14:40,1,69,580,69.5,486
1/7/2019 14:45,1,62.7,600,66.6,584
1/7/2019 14:50,1,59.5,600,66.1,535
1/7/2019 14:55,1,66.7,600,68.4,506
1/7/2019 15:00,1,65.4,620,69.1,529
1/7/2019 15:05,1,65.7,620,67.1,550
1/7/2019 15:10,1,61.6,620,66,610
1/7/2019 15:15,1,66.4,631,69.6,591
1/7/2019 15:20,1,67.2,631,68.9,588
1/7/2019 15:25,1,67.3,631,70.1,551
1/7/2019 15:30,1,69.5,638,69.8,591
1/7/2019 15:35,1,64.6,638,70.4,544
1/7/2019 15:40,1,64.4,638,68.3,621
1/7/2019 15:45,1,65.7,648,69.8,618
1/7/2019 15:50,1,67.7,648,67.5,591
1/7/2019 15:55,1,64.9,648,65.9,635
1/7/2019 16:00,1,62.8,658,68.8,606
1/7/2019 16:05,1,70,658,70,568
1/7/2019 16:10,1,67.1,658,69.4,643
1/7/2019 16:15,1,66,655,68,663
1/7/2019 16:20,1,62.3,655,68.3,657
1/7/2019 16:25,1,62.8,655,67,615
1/7/2019 16:30,1,62,655,67.1,646
1/7/2019 16:35,1,65.3,655,67.9,669
1/7/2019 16:40,1,64.3,655,66.9,664
1/7/2019 16:45,1,65.2,651,67.9,682
1/7/2019 16:50,1,62.6,651,69,639
1/7/2019 16:55,1,65.5,651,69.2,663
1/7/2019 17:00,1,69.2,651,71,602
1/7/2019 17:05,1,64.4,651,70.4,595
1/7/2019 17:10,1,66.2,651,68.5,651
1/7/2019 17:15,1,66.5,617,70.1,657
1/7/2019 17:20,1,63.1,617,67.5,679
1/7/2019 17:25,1,62.9,617,68,608
1/7/2019 17:30,1,62.1,593,66.5,601
1/7/2019 17:35,1,59.8,593,66.7,565
1/7/2019 17:40,1,63.6,593,67.4,584
1/7/2019 17:45,1,62.4,569,67.6,564
1/7/2019 17:50,1,63.6,569,67.2,581
1/7/2019 17:55,1,66.4,569,68.5,516
1/7/2019 18:00,1,68.4,549,67.5,535
1/7/2019 18:05,1,66.7,549,68.6,499
1/7/2019 18:10,1,65.1,549,67.5,584
1/7/2019 18:15,1,65.9,508,70.5,553
1/7/2019 18:20,1,66,508,71.3,530
1/7/2019 18:25,1,69.5,508,70.2,502
1/7/2019 18:30,1,66.9,471,70.6,528
1/7/2019 18:35,1,68.6,471,71.3,502
1/7/2019 18:40,1,70.1,471,70.6,497
1/7/2019 18:45,1,75.5,436,71.9,447
1/7/2019 18:50,1,67,436,72.1,374
